from_levels_and_colors,1
ylable,1
ytitle,1
Normal.patheffects,1
Greys_r,1
isinteractive,1
hsv_to_rgb,1
NonUniformImage,1
subplots.pyplot,1
RdYlGn,1
EllipseCollection,1
ConnectionPatch,1
CMRmap.cm,1
sca.pyplot,1
bone,1
coolwarm_r,1
LogNorm.colors,1
viridis.cm,1
gca.pyplot,1
sort,1
unit_regular_polygon,1
_rebuild.font_manager,1
rcParams.pyplot,1
Stroke.patheffects,1
Pastel1_r,1
Reds.cm,1
Axes.axes,1
Purples,1
rgb_to_hsv.colors,1
imread.image,1
BrBG.cm,1
BoundaryNorm,1
Set3,1
split.__version__,1
,965068
