,values
random,337
linalg,60
fft,33
lib.stride_tricks,11
testing,11
matlib,10
ma,8
polynomial.polynomial,5
ctypeslib,5
polynomial,4
core.defchararray,4
random.mtrand,2
distutils.system_info,1
core.umath_tests,1
core,1
core.multiarray,1
lib,1
,495
